Target125.640.t1_FOR	Target125.640.t1_REV
Target125.7541.t1_FOR	Target125.7541.t1_REV
Target125.960.t0_FOR	Target125.960.t0_REV
Target126.10584.t1_FOR	Target126.10584.t1_REV
Target126.1088.t0_FOR	Target126.1088.t0_REV
Target126.13049.t0_FOR	Target126.13049.t0_REV
Target126.18080.t0_FOR	Target126.18080.t0_REV
Target126.20466.t1_FOR	Target126.20466.t1_REV
Target126.22166.t0_FOR	Target126.22166.t0_REV
Target126.3470.t1_FOR	Target126.3470.t1_REV
Target126.5753.t0_FOR	Target126.5753.t0_REV
Target126.7865.t1_FOR	Target126.7865.t1_REV
Target126.9482.t0_FOR	Target126.9482.t0_REV
Target126_m1_FOR	Target126_m1_REV
Target127.1018.t1_FOR	Target127.1018.t1_REV
Target127.10775.t1_FOR	Target127.10775.t1_REV
Target127.13095.t0_FOR	Target127.13095.t0_REV
Target127.14320.t1_FOR	Target127.14320.t1_REV
Target127.15240.t0_FOR	Target127.15240.t0_REV
Target127.1538.t0_FOR	Target127.1538.t0_REV
Target127.3065.t1_FOR	Target127.3065.t1_REV
Target127.4580.t0_FOR	Target127.4580.t0_REV
Target127.6045.t1_FOR	Target127.6045.t1_REV
Target127.8002.t0_FOR	Target127.8002.t0_REV
Target128.10204.t0_FOR	Target128.10204.t0_REV
Target128.13707.t1_FOR	Target128.13707.t1_REV
Target128.14613.t0_FOR	Target128.14613.t0_REV
Target128.1594.t1_FOR	Target128.1594.t1_REV
Target128.16277.t1_FOR	Target128.16277.t1_REV
Target128.16456.t0_FOR	Target128.16456.t0_REV
Target128.17343.t1_FOR	Target128.17343.t1_REV
Target128.2893.t0_FOR	Target128.2893.t0_REV
Target128.4441.t1_FOR	Target128.4441.t1_REV
Target128.6650.t0_FOR	Target128.6650.t0_REV
Target128.8078.t1_FOR	Target128.8078.t1_REV
Target129.11070.t0_FOR	Target129.11070.t0_REV
Target129.13199.t1_FOR	Target129.13199.t1_REV
Target129.15922.t0_FOR	Target129.15922.t0_REV
Target129.17669.t1_FOR	Target129.17669.t1_REV
Target129.2125.t1_FOR	Target129.2125.t1_REV
Target129.3362.t0_FOR	Target129.3362.t0_REV
Target129.4330.t1_FOR	Target129.4330.t1_REV
Target129.7213.t0_FOR	Target129.7213.t0_REV
Target129.888.t0_FOR	Target129.888.t0_REV
Target129.9377.t1_FOR	Target129.9377.t1_REV
Target13.1028.t0_FOR	Target13.1028.t0_REV
Target13.13171.t0_FOR	Target13.13171.t0_REV
Target13.15390.t1_FOR	Target13.15390.t1_REV
Target13.17428.t0_FOR	Target13.17428.t0_REV
Target13.20139.t1_FOR	Target13.20139.t1_REV
Target13.3663.t1_FOR	Target13.3663.t1_REV
Target13.4739.t0_FOR	Target13.4739.t0_REV
Target13.5942.t1_FOR	Target13.5942.t1_REV
Target13.7589.t0_FOR	Target13.7589.t0_REV
Target13.9890.t1_FOR	Target13.9890.t1_REV
Target130.13389.t1_FOR	Target130.13389.t1_REV
Target130.15520.t0_FOR	Target130.15520.t0_REV
Target130.19146.t1_FOR	Target130.19146.t1_REV
Target130.19989.t0_FOR	Target130.19989.t0_REV
Target130.23659.t1_FOR	Target130.23659.t1_REV
Target130.3339.t1_FOR	Target130.3339.t1_REV
Target130.4834.t0_FOR	Target130.4834.t0_REV
Target130.6994.t1_FOR	Target130.6994.t1_REV
Target130.9788.t0_FOR	Target130.9788.t0_REV
Target130.986.t0_FOR	Target130.986.t0_REV
Target131.12128.t0_FOR	Target131.12128.t0_REV
Target131.1376.t0_FOR	Target131.1376.t0_REV
Target131.15743.t1_FOR	Target131.15743.t1_REV
Target131.17304.t0_FOR	Target131.17304.t0_REV
Target131.20279.t1_FOR	Target131.20279.t1_REV
Target131.21801.t0_FOR	Target131.21801.t0_REV
Target131.25721.t1_FOR	Target131.25721.t1_REV
Target131.27027.t0_FOR	Target131.27027.t0_REV
Target131.3587.t1_FOR	Target131.3587.t1_REV
Target131.5981.t0_FOR	Target131.5981.t0_REV
Target131.8615.t1_FOR	Target131.8615.t1_REV
Target132.10342.t0_FOR	Target132.10342.t0_REV
Target132.16618.t0_FOR	Target132.16618.t0_REV
Target132.19045.t1_FOR	Target132.19045.t1_REV
Target132.1912.t1_FOR	Target132.1912.t1_REV
Target132.22506.t0_FOR	Target132.22506.t0_REV
Target132.25125.t1_FOR	Target132.25125.t1_REV
Target132.27826.t0_FOR	Target132.27826.t0_REV
Target132.5200.t0_FOR	Target132.5200.t0_REV
Target132.7404.t1_FOR	Target132.7404.t1_REV
Target132_m1_FOR	Target132_m1_REV
Target133.11614.t1_FOR	Target133.11614.t1_REV
Target133.13044.t0_FOR	Target133.13044.t0_REV
Target133.15482.t1_FOR	Target133.15482.t1_REV
Target133.17962.t0_FOR	Target133.17962.t0_REV
Target133.2059.t1_FOR	Target133.2059.t1_REV
Target133.21122.t1_FOR	Target133.21122.t1_REV
Target133.25070.t0_FOR	Target133.25070.t0_REV
Target133.26955.t1_FOR	Target133.26955.t1_REV
Target133.3414.t0_FOR	Target133.3414.t0_REV
Target133.5364.t1_FOR	Target133.5364.t1_REV
Target133.8170.t0_FOR	Target133.8170.t0_REV
Target134.12784.t0_FOR	Target134.12784.t0_REV
Target134.16785.t1_FOR	Target134.16785.t1_REV
Target134.20062.t0_FOR	Target134.20062.t0_REV
Target134.22142.t1_FOR	Target134.22142.t1_REV
Target134.24971.t0_FOR	Target134.24971.t0_REV
